poll,date,fav,unfav,spread
RCPÂ Average,9/15 - 10/26,42.5,51.0,-8.5
Economist/YouGovYouGov,10/24 - 10/26,43.0,50.0,-7
Politico/Morning ConsultPolitico,10/22 - 10/24,42.0,50.0,-8
FOX NewsFOX News,10/16 - 10/19,44.0,54.0,-10
Economist/YouGovYouGov,10/16 - 10/19,42.0,53.0,-11
Politico/Morning ConsultPolitico,10/16 - 10/18,42.0,50.0,-8
Economist/YouGovYouGov,10/9 - 10/12,42.0,51.0,-9
Politico/Morning ConsultPolitico,10/8 - 10/11,45.0,49.0,-4
Economist/YouGovYouGov,10/3 - 10/5,43.0,50.0,-7
Politico/Morning ConsultPolitico,10/2 - 10/4,42.0,50.0,-8
Economist/YouGovYouGov,9/26 - 9/28,43.0,52.0,-9
Politico/Morning ConsultPolitico,9/24 - 9/27,44.0,48.0,-4
Economist/YouGovYouGov,9/18 - 9/21,44.0,50.0,-6
Politico/Morning ConsultPolitico,9/18 - 9/20,43.0,49.0,-6
Harvard-HarrisHarris,9/15 - 9/16,41.0,50.0,-9
Economist/YouGovYouGov,9/12 - 9/14,44.0,50.0,-6
Economist/YouGovYouGov,9/4 - 9/7,43.0,53.0,-10
Economist/YouGovYouGov,8/28 - 8/31,43.0,49.0,-6
Politico/Morning ConsultPolitico,8/28 - 8/30,46.0,48.0,-2
Economist/YouGovYouGov,8/21 - 8/24,43.0,51.0,-8
Politico/Morning ConsultPolitico,8/21 - 8/24,43.0,49.0,-6
USA Today/SuffolkUSA Today,8/19 - 8/23,35.0,54.0,-19
NBC News/Wall St. JrnlNBC/WSJ,8/14 - 8/17,37.0,46.0,-9
Economist/YouGovYouGov,8/14 - 8/17,45.0,49.0,-4
Politico/Morning ConsultPolitico,8/13 - 8/16,45.0,47.0,-2
FOX NewsFOX News,8/7 - 8/10,45.0,51.0,-6
Economist/YouGovYouGov,8/7 - 8/10,46.0,48.0,-2
Politico/Morning ConsultPolitico,8/7 - 8/9,45.0,49.0,-4
Economist/YouGovYouGov,7/31 - 8/3,46.0,49.0,-3
Politico/Morning ConsultPolitico,7/31 - 8/2,44.0,48.0,-4
Harvard-HarrisHarris,7/28 - 7/29,45.0,45.0,0
Economist/YouGovYouGov,7/24 - 7/27,46.0,48.0,-2
Politico/Morning ConsultPolitico,7/23 - 7/26,46.0,47.0,-1
Economist/YouGovYouGov,7/17 - 7/20,45.0,49.0,-4
Politico/Morning ConsultPolitico,7/16 - 7/18,45.0,47.0,-2
Economist/YouGovYouGov,7/10 - 7/13,46.0,48.0,-2
Politico/Morning ConsultPolitico,7/9 - 7/12,47.0,47.0,0
Economist/YouGovYouGov,7/3 - 7/6,44.0,50.0,-6
Economist/YouGovYouGov,6/26 - 6/29,44.0,51.0,-7
Politico/Morning ConsultPolitico,6/25 - 6/28,46.0,46.0,0
Economist/YouGovYouGov,6/20 - 6/22,48.0,47.0,+1
Politico/Morning ConsultPolitico,6/18 - 6/20,45.0,47.0,-2
Harvard-HarrisHarris,6/15 - 6/17,43.0,43.0,0
Economist/YouGovYouGov,6/13 - 6/15,45.0,48.0,-3
Politico/Morning ConsultPolitico,6/11 - 6/13,46.0,46.0,0
Economist/YouGovYouGov,6/6 - 6/8,49.0,43.0,+6
Economist/YouGovYouGov,5/29 - 6/1,47.0,46.0,+1
Economist/YouGovYouGov,5/22 - 5/25,49.0,48.0,+1
Politico/Morning ConsultPolitico,5/21 - 5/24,48.0,42.0,+6
Harvard-HarrisHarris,5/19 - 5/20,50.0,42.0,+8
Economist/YouGovYouGov,5/15 - 5/18,47.0,46.0,+1
Politico/Morning ConsultPolitico,5/14 - 5/17,48.0,44.0,+4
Economist/YouGovYouGov,5/8 - 5/11,48.0,47.0,+1
Economist/YouGovYouGov,5/1 - 5/4,44.0,50.0,-6
Politico/Morning ConsultPolitico,4/30 - 5/3,50.0,41.0,+9
Harvard-HarrisHarris,4/27 - 4/29,50.0,40.0,+10
Economist/YouGovYouGov,4/25 - 4/27,47.0,46.0,+1
Politico/Morning ConsultPolitico,4/24 - 4/26,52.0,41.0,+11
FOX NewsFOX News,4/18 - 4/21,49.0,46.0,+3
Economist/YouGovYouGov,4/17 - 4/20,47.0,48.0,-1
Economist/YouGovYouGov,4/10 - 4/13,47.0,48.0,-1
Politico/Morning ConsultPolitico,4/9 - 4/12,51.0,40.0,+11
Economist/YouGovYouGov,4/3 - 4/6,48.0,47.0,+1
Politico/Morning ConsultPolitico,4/2 - 4/4,53.0,39.0,+14
Economist/YouGovYouGov,3/27 - 3/30,48.0,46.0,+2
Politico/Morning ConsultPolitico,3/26 - 3/29,52.0,41.0,+11
Harvard-HarrisHarris,3/24 - 3/25,50.0,42.0,+8
Politico/Morning ConsultPolitico,3/19 - 3/22,50.0,40.0,+10
Economist/YouGovYouGov,3/20 - 3/23,44.0,50.0,-6
Economist/YouGovYouGov,3/13 - 3/17,50.0,45.0,+5
Politico/Morning ConsultPolitico,3/12 - 3/15,54.0,37.0,+17
Economist/YouGovYouGov,3/6 - 3/9,48.0,46.0,+2
Politico/Morning ConsultPolitico,3/6 - 3/8,52.0,40.0,+12
Economist/YouGovYouGov,2/27 - 3/2,49.0,46.0,+3
Politico/Morning ConsultPolitico,2/26 - 3/1,51.0,39.0,+12
Harvard-HarrisHarris,2/23 - 2/25,49.0,41.0,+8
Economist/YouGovYouGov,2/19 - 2/22,51.0,44.0,+7
Politico/Morning ConsultPolitico,2/19 - 2/22,52.0,39.0,+13
Economist/YouGovYouGov,2/13 - 2/16,51.0,45.0,+6
Politico/Morning ConsultPolitico,2/14 - 2/15,57.0,36.0,+21
Economist/YouGovYouGov,2/6 - 2/9,49.0,46.0,+3
Economist/YouGovYouGov,1/31 - 2/2,47.0,45.0,+2
Politico/Morning ConsultPolitico,1/29 - 2/1,53.0,39.0,+14
QuinnipiacQuinnipiac,1/28 - 2/1,45.0,35.0,+10
Economist/YouGovYouGov,1/24 - 1/26,50.0,44.0,+6
Politico/Morning ConsultPolitico,1/22 - 1/25,54.0,38.0,+16
Harvard-HarrisHarris,1/12 - 1/14,47.0,41.0,+6
Economist/YouGovYouGov,1/16 - 1/19,48.0,44.0,+4
USA Today/SuffolkUSA Today,1/12 - 1/15,46.0,40.0,+6
NBC News/Wall St. JrnlNBC/WSJ,1/10 - 1/13,41.0,41.0,0
Economist/YouGovYouGov,1/10 - 1/12,47.0,47.0,0
Politico/Morning ConsultPolitico,1/6 - 1/7,48.0,43.0,+5
Economist/YouGovYouGov,1/3 - 1/5,45.0,48.0,-3
Economist/YouGovYouGov,12/19 - 12/22,45.0,49.0,-4
Politico/Morning ConsultPolitico,12/18 - 12/20,51.0,41.0,+10
USA Today/SuffolkUSA Today,12/16 - 12/20,46.0,40.0,+6
Politico/Morning ConsultPolitico,12/11 - 12/14,51.0,38.0,+13
Economist/YouGovYouGov,12/13 - 12/15,45.0,47.0,-2
FOX NewsFOX News,12/6 - 12/9,54.0,42.0,+12
Economist/YouGovYouGov,12/6 - 12/8,44.0,43.0,+1
Politico/Morning ConsultPolitico,12/4 - 12/6,50.0,41.0,+9
Economist/YouGovYouGov,11/21 - 11/24,49.0,47.0,+2
Politico/Morning ConsultPolitico,11/21 - 11/23,51.0,41.0,+10
Harvard-HarrisHarris,11/17 - 11/19,45.0,45.0,0
Economist/YouGovYouGov,11/15 - 11/17,49.0,47.0,+2
Politico/Morning ConsultPolitico,11/13 - 11/16,51.0,40.0,+11
Economist/YouGovYouGov,10/31 - 11/2,49.0,47.0,+2
NBC News/Wall St. JrnlNBC/WSJ,10/29 - 10/31,42.0,42.0,0
Economist/YouGovYouGov,10/25 - 10/27,48.0,50.0,-2
Politico/Morning ConsultPolitico,10/19 - 10/22,44.0,42.0,+2
Economist/YouGovYouGov,10/18 - 10/20,51.0,46.0,+5
CNBC/Change Research (D)CNBC,10/17 - 10/18,49.0,46.0,+3
Politico/Morning ConsultPolitico,10/16 - 10/18,47.0,40.0,+7
NBC News/Wall St. JrnlNBC/WSJ,10/9 - 10/12,41.0,41.0,0
Economist/YouGovYouGov,10/11 - 10/13,49.0,46.0,+3
Politico/Morning ConsultPolitico,10/9 - 10/11,47.0,41.0,+6
FOX NewsFOX News,10/3 - 10/6,54.0,40.0,+14
Economist/YouGovYouGov,10/4 - 10/6,46.0,49.0,-3
Reuters/IpsosReuters,10/2 - 10/6,56.0,43.0,+13
CNBC/Change Research (D)CNBC,10/2 - 10/4,44.0,47.0,-3
Politico/Morning ConsultPolitico,10/2 - 10/4,45.0,39.0,+6
CNNCNN,10/1 - 10/4,50.0,38.0,+12
NBC News/Wall St. JrnlNBC/WSJ,9/30 - 10/1,40.0,38.0,+2
Economist/YouGovYouGov,9/27 - 9/30,47.0,46.0,+1
NY Times/SienaNYT/Siena,9/22 - 9/24,48.0,41.0,+7
Harvard-HarrisHarris,9/22 - 9/24,44.0,41.0,+3
Economist/YouGovYouGov,9/20 - 9/22,45.0,49.0,-4
CNBC/Change Research (D)CNBC,9/18 - 9/20,47.0,48.0,-1
Politico/Morning ConsultPolitico,9/18 - 9/20,44.0,42.0,+2
NBC News/Wall St. JrnlNBC/WSJ,9/13 - 9/16,37.0,38.0,-1
Economist/YouGovYouGov,9/13 - 9/15,48.0,47.0,+1
Reuters/IpsosReuters,9/11 - 9/15,58.0,43.0,+15
Politico/Morning ConsultPolitico,9/11 - 9/14,45.0,40.0,+5
FOX NewsFOX News,9/7 - 9/10,53.0,44.0,+9
Economist/YouGovYouGov,9/6 - 9/8,49.0,48.0,+1
MonmouthMonmouth,9/3 - 9/8,43.0,37.0,+6
CNBC/Change Research (D)CNBC,9/4 - 9/6,43.0,49.0,-6
Harvard-HarrisHarris,8/31 - 9/2,44.0,40.0,+4
Economist/YouGovYouGov,8/30 - 9/1,48.0,44.0,+4
CNNCNN,8/28 - 9/1,47.0,41.0,+6
USA Today/SuffolkUSA Today,8/28 - 8/31,43.0,41.0,+2
QuinnipiacQuinnipiac,8/28 - 8/31,40.0,34.0,+6
Politico/Morning ConsultPolitico,8/28 - 8/30,46.0,41.0,+5
Economist/YouGovYouGov,8/23 - 8/25,48.0,46.0,+2
CNBC/Change Research (D)CNBC,8/21 - 8/23,46.0,48.0,-2
Politico/Morning ConsultPolitico,8/21 - 8/23,43.0,41.0,+2
Economist/YouGovYouGov,8/16 - 8/18,47.0,45.0,+2
Politico/Morning ConsultPolitico,8/14 - 8/16,42.0,41.0,+1
CNNCNN,8/12 - 8/15,41.0,38.0,+3
ABC News/Wash PostABC/WP,8/12 - 8/15,51.0,40.0,+11
NBC News/Wall St. JrnlNBC/WSJ,8/9 - 8/12,39.0,35.0,+4
GU Politics/BattlegroundGU Politics,8/1 - 8/6,43.0,36.0,+7
Economist/YouGovYouGov,8/2 - 8/4,39.0,43.0,-4
Politico/Morning ConsultPolitico,7/24 - 7/26,33.0,34.0,-1
Economist/YouGovYouGov,7/19 - 7/21,42.0,40.0,+2
Politico/Morning ConsultPolitico,7/10 - 7/12,32.0,34.0,-2
Economist/YouGovYouGov,5/23 - 5/26,38.0,47.0,-9
Politico/Morning ConsultPolitico,5/22 - 5/26,31.0,34.0,-3
Economist/YouGovYouGov,5/17 - 5/19,37.0,45.0,-8
CNNCNN,5/7 - 5/10,34.0,37.0,-3
Economist/YouGovYouGov,5/10 - 5/12,38.0,45.0,-7
Economist/YouGovYouGov,5/3 - 5/5,34.0,45.0,-11
Politico/Morning ConsultPolitico,5/2 - 5/3,29.0,34.0,-5
Economist/YouGovYouGov,4/19 - 4/21,37.0,43.0,-6
Economist/YouGovYouGov,3/22 - 3/24,36.0,48.0,-12
Harvard-HarrisHarris,11/27 - 11/29,31.0,43.0,-12
Economist/YouGovYouGov,11/17 - 11/19,36.0,48.0,-12
Economist/YouGovYouGov,11/10 - 11/12,38.0,47.0,-9
Economist/YouGovYouGov,11/3 - 11/5,37.0,48.0,-11
Economist/YouGovYouGov,10/27 - 10/29,37.0,47.0,-10
Economist/YouGovYouGov,10/20 - 10/22,35.0,47.0,-12
Economist/YouGovYouGov,10/13 - 10/15,41.0,46.0,-5
GU Politics/BattlegroundGU Politics,10/6 - 10/10,35.0,43.0,-8
Economist/YouGovYouGov,10/6 - 10/8,37.0,49.0,-12
Economist/YouGovYouGov,9/28 - 10/1,37.0,47.0,-10
Politico/Morning ConsultPolitico,9/27 - 9/30,28.0,34.0,-6
Economist/YouGovYouGov,9/22 - 9/24,38.0,44.0,-6
Harvard-HarrisHarris,9/22 - 9/24,35.0,41.0,-6
Economist/YouGovYouGov,9/14 - 9/17,37.0,49.0,-12
Economist/YouGovYouGov,9/8 - 9/10,40.0,44.0,-4
NPR/PBS/MaristNPR/PBS,9/5 - 9/8,31.0,42.0,-11
Economist/YouGovYouGov,9/1 - 9/3,37.0,46.0,-9
Harvard-HarrisHarris,8/26 - 8/28,33.0,41.0,-8
Economist/YouGovYouGov,8/24 - 8/27,38.0,44.0,-6
Economist/YouGovYouGov,8/17 - 8/20,38.0,47.0,-9
FOX NewsFOX News,8/11 - 8/15,41.0,40.0,+1
Economist/YouGovYouGov,8/3 - 8/6,36.0,45.0,-9
Economist/YouGovYouGov,7/27 - 7/30,42.0,43.0,-1
Economist/YouGovYouGov,7/21 - 7/23,39.0,42.0,-3
Politico/Morning ConsultPolitico,7/19 - 7/21,30.0,31.0,-1
Economist/YouGovYouGov,7/14 - 7/16,42.0,40.0,+2
Economist/YouGovYouGov,7/7 - 7/9,40.0,42.0,-2
CNNCNN,6/28 - 6/30,35.0,35.0,0
Harvard-HarrisHarris,6/26 - 6/29,33.0,36.0,-3
Economist/YouGovYouGov,6/30 - 7/2,43.0,40.0,+3
Economist/YouGovYouGov,6/22 - 6/25,39.0,37.0,+2
Economist/YouGovYouGov,6/16 - 6/18,38.0,40.0,-2
Economist/YouGovYouGov,6/9 - 6/11,36.0,41.0,-5
Economist/YouGovYouGov,6/2 - 6/4,38.0,42.0,-4
Economist/YouGovYouGov,6/2 - 6/4,38.0,42.0,-4
Harvard-HarrisHarris,5/29 - 5/30,33.0,33.0,0
QuinnipiacQuinnipiac,5/16 - 5/20,27.0,30.0,-3
Economist/YouGovYouGov,5/5 - 5/7,37.0,40.0,-3
Harvard-HarrisHarris,4/30 - 5/1,34.0,33.0,+1
Economist/YouGovYouGov,4/27 - 4/30,39.0,37.0,+2
Economist/YouGovYouGov,4/21 - 4/23,36.0,39.0,-3
Economist/YouGovYouGov,4/13 - 4/16,38.0,40.0,-2
Economist/YouGovYouGov,4/6 - 4/9,36.0,39.0,-3
Economist/YouGovYouGov,3/31 - 4/2,37.0,40.0,-3
Economist/YouGovYouGov,3/24 - 3/26,36.0,40.0,-4
Economist/YouGovYouGov,3/17 - 3/19,36.0,39.0,-3
Economist/YouGovYouGov,3/10 - 3/12,37.0,41.0,-4
Economist/YouGovYouGov,3/3 - 3/5,38.0,40.0,-2
Economist/YouGovYouGov,2/24 - 2/26,37.0,40.0,-3
Economist/YouGovYouGov,2/17 - 2/19,37.0,37.0,0
Politico/Morning ConsultPolitico,2/15 - 2/19,26.0,23.0,+3
Economist/YouGovYouGov,2/10 - 2/12,37.0,40.0,-3
Politico/Morning ConsultPolitico,2/1 - 2/2,30.0,31.0,-1
CNNCNN,1/30 - 2/2,29.0,27.0,+2
Economist/YouGovYouGov,1/27 - 1/29,35.0,35.0,0
Politico/Morning ConsultPolitico,1/25 - 1/27,25.0,24.0,+1
Politico/Morning ConsultPolitico,1/18 - 1/22,24.0,19.0,+5
QuinnipiacQuinnipiac,12/12 - 12/17,20.0,22.0,-2
CNNCNN,9/6 - 9/9,22.0,18.0,+4
